Outlier,comment_count,down_votes,post_id,reputation,score,up_votes,user_id,view_count,views
reputation,2,33,37321878,11323,0,1455,2091169,19,975
reputation,2,33,37264200,11323,0,1455,2091169,16,975
reputation,2,18,32074632,22239,1,1893,509706,19,1497
reputation,0,72,33632499,20390,0,505,178757,13,1317
reputation,0,45,28830708,29561,0,273,289666,13,951
reputation,0,126,34446666,23409,1,1452,202168,16,1690
reputation,0,126,34432986,23409,0,1452,202168,14,1690
reputation,0,126,23685447,23409,0,1452,202168,19,1690
reputation,0,1204,32070717,24848,0,2483,500974,15,2310
reputation,11,65,30335961,11494,1,367,404568,19,966
reputation,0,65,35212468,11494,0,367,404568,14,966
reputation,0,65,28997904,11494,0,367,404568,19,966
reputation,0,138,37545568,12653,0,1203,1010632,15,1381
reputation,0,48,17834580,13103,0,3352,1741868,18,1310
reputation,2,760,25726485,23454,0,834,978756,18,3974
reputation,2,17,29264697,32947,0,579,84539,17,2284
reputation,3,322,34888017,28934,0,1294,31667,10,2418
reputation,0,322,33771746,28934,1,1294,31667,10,2418
reputation,0,40,37750032,39822,0,488,93884,10,1033
reputation,0,69,36176828,16328,0,763,1577190,16,988
views,8,2098,37342151,30144,0,1264,131809,16,1923
views,0,28,37594513,27410,2,727,911930,16,2700
views,0,28,31672052,27410,0,727,911930,16,2700
views,0,28,31874655,27410,0,727,911930,16,2700
views,0,28,32033132,27410,0,727,911930,18,2700
views,0,28,37752896,27410,1,727,911930,10,2700
views,0,28,35772062,27410,0,727,911930,18,2700
views,1,28,37612206,27410,0,727,911930,18,2700
views,0,28,37751754,27410,0,727,911930,4,2700
views,0,28,35319247,27410,1,727,911930,19,2700
views,1,28,32587718,27410,0,727,911930,16,2700
views,0,28,34228412,27410,0,727,911930,19,2700
views,2,11,22179082,34006,0,1262,683553,14,1640
views,0,11,31927733,34006,0,1262,683553,12,1640
views,0,11,37471953,34006,0,1262,683553,19,1640
views,0,11,30404261,34006,0,1262,683553,15,1640
views,3,11,32661087,34006,-1,1262,683553,19,1640
views,1,78,31305236,26819,0,894,1033686,19,1724
